City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Lazaro Cardenas,MX,17.9583,-102.2,73.29,78,6,4.81,clear sky
229,Itarema,BR,-2.9248,-39.9167,76.59,83,96,4.14,overcast clouds
230,Nanortalik,GL,60.1432,-45.2371,13.98,69,100,33.73,overcast clouds
231,Dwarka,IN,22.2394,68.9678,76.39,66,3,8.61,clear sky
232,Puerto Ayacucho,VE,5.6639,-67.6236,82.76,67,100,2.1,overcast clouds
233,Severnoye,RU,56.3491,78.3619,-11.67,100,99,6.44,overcast clouds
234,Tuatapere,NZ,-46.1333,167.6833,67.59,49,0,4.79,clear sky
235,Cidreira,BR,-30.1811,-50.2056,70.11,71,100,8.52,overcast clouds
236,Souillac,MU,-20.5167,57.5167,79.18,94,75,8.05,light intensity shower rain
237,Georgiyevka,KZ,43.0369,74.7114,51.84,76,75,8.95,light intensity shower rain
238,Ust-Kuyga,RU,70.0167,135.6,-4.7,93,100,5.86,overcast clouds
239,Kilimatinde,TZ,-5.85,34.95,63.93,91,96,1.19,overcast clouds
240,Tarija,BO,-21.5355,-64.7296,55.67,91,100,2.91,overcast clouds
241,Ballina,AU,-28.8667,153.5667,74.79,87,75,4.61,light rain
242,Bochil,MX,16.9833,-92.9167,60.76,96,100,6.6,overcast clouds
243,Morehead,US,37.2711,-87.1764,26.35,55,0,0.0,clear sky
244,Cleethorpes,GB,53.5605,-0.0323,46.13,87,100,14.97,haze
245,Maldonado,UY,-34.6667,-54.9167,58.39,90,0,3.89,clear sky
246,Markova,UA,48.6758,24.4138,25.61,72,100,3.96,overcast clouds
247,Tiznit,MA,29.5833,-9.5,52.34,92,71,2.57,broken clouds
248,Contamana,PE,-7.3333,-75.0167,75.49,93,100,3.09,moderate rain
249,Khakhea,BW,-24.6895,23.494,70.03,49,1,9.78,clear sky
250,Luderitz,NA,-26.6481,15.1594,63.36,94,11,12.21,few clouds
251,Mattawa,US,46.7379,-119.9028,63.21,36,52,4.54,broken clouds
252,Brigantine,US,39.4101,-74.3646,28.02,65,0,18.41,clear sky
253,Ocean Springs,US,30.4113,-88.8278,44.62,49,0,8.05,clear sky
254,Ballinrobe,IE,53.6333,-9.2333,43.75,87,100,22.03,light rain
255,Lagos,NG,6.5833,3.75,79.12,85,100,7.38,overcast clouds
256,Namibe,AO,-15.1961,12.1522,72.18,84,100,7.38,overcast clouds
257,Padang,ID,-0.9492,100.3543,77.05,73,100,1.72,overcast clouds
258,Puerto Escondido,MX,15.85,-97.0667,79.63,73,40,5.75,scattered clouds
259,Port Lincoln,AU,-34.7333,135.8667,80.98,34,98,7.09,overcast clouds
260,Chuy,UY,-33.6971,-53.4616,58.62,78,0,5.01,clear sky
261,Catalina Foothills,US,32.2979,-110.9187,73.71,13,0,11.5,clear sky
262,Chifeng,CN,42.2683,118.9636,37.67,33,67,9.24,broken clouds
263,Faya,SA,18.3851,42.4509,55.92,80,2,5.41,clear sky
264,Umm Kaddadah,SD,13.6017,26.6876,64.76,17,8,16.49,clear sky
265,Bengkulu,ID,-3.8004,102.2655,78.66,85,100,3.56,overcast clouds
266,Ambilobe,MG,-13.2,49.05,72.0,95,98,1.83,overcast clouds
267,Bereda,ES,43.2686,-7.5406,40.41,100,100,5.12,overcast clouds
268,Codrington,AU,-38.2667,141.9667,77.7,35,5,5.21,clear sky
269,Kidal,ML,18.4411,1.4078,71.76,12,0,7.61,clear sky
270,Necochea,AR,-38.5473,-58.7368,59.5,60,6,11.86,clear sky
271,Nome,US,64.5011,-165.4064,24.87,39,0,12.66,clear sky
272,Luwuk,ID,-0.9516,122.7875,85.78,72,56,2.13,broken clouds
273,Mahebourg,MU,-20.4081,57.7,79.25,94,75,8.05,light intensity shower rain
274,Port-Gentil,GA,-0.7193,8.7815,78.67,85,100,14.41,overcast clouds
275,Atuona,PF,-9.8,-139.0333,79.03,76,100,14.63,overcast clouds
276,Ojinaga,MX,29.5667,-104.4167,59.95,25,0,4.61,clear sky
277,Bugulma,RU,54.55,52.8,-9.92,100,100,2.08,overcast clouds
278,Sorsk,RU,54.0033,90.2467,-2.6,97,87,3.13,overcast clouds
279,Maarianhamina,AX,60.0973,19.9348,22.86,100,0,1.14,clear sky
280,Solwezi,ZM,-12.1688,26.3894,62.08,99,100,1.72,moderate rain
281,Russell,US,32.3502,-85.1999,38.48,42,0,10.36,clear sky
282,Norman Wells,CA,65.282,-126.8329,-3.96,59,75,13.8,broken clouds
283,Kabare,CD,-2.4683,28.8242,59.92,96,100,3.8,overcast clouds
284,San Patricio,US,28.017,-97.5169,51.89,38,4,6.15,clear sky
285,Krasnyy Chikoy,RU,50.3643,108.7512,18.0,83,100,0.98,overcast clouds
286,Andros Town,BS,24.7,-77.7667,78.76,78,0,23.85,light rain
287,Worland,US,44.0169,-107.9554,43.25,56,0,3.44,clear sky
288,Djenne,ML,13.9061,-4.5533,79.77,12,13,11.16,few clouds
289,Uniontown,US,39.9001,-79.7164,19.74,55,100,1.01,overcast clouds
290,Brejo Santo,BR,-7.4933,-38.9872,75.43,68,100,2.71,overcast clouds
291,Cadillac,US,44.2519,-85.4012,8.51,66,100,3.44,overcast clouds
292,Conceicao Da Barra,BR,-18.5933,-39.7322,77.31,87,10,6.55,clear sky
293,Skjervoy,NO,70.0311,20.9714,37.56,72,89,13.82,overcast clouds
294,Ust-Maya,RU,60.4167,134.5333,5.34,87,100,1.95,overcast clouds
295,Oranjestad,AW,12.524,-70.027,80.55,74,20,17.27,few clouds
296,Siteki,SZ,-26.45,31.95,59.92,92,61,1.83,broken clouds
297,Kefamenanu,ID,-9.4467,124.4781,83.07,70,100,4.59,overcast clouds
298,Kangasala,FI,61.4638,24.076,24.33,92,100,3.76,overcast clouds
299,Nishihara,JP,26.1842,127.7558,74.48,65,40,11.5,scattered clouds
300,Strathpeffer,GB,57.588,-4.5382,42.15,84,100,4.52,moderate rain
301,Manono,CD,-7.3,27.4167,67.55,99,100,4.76,light rain
302,Brigham City,US,41.5102,-112.0155,51.82,37,0,0.0,clear sky
303,Itoman,JP,26.1247,127.6694,75.22,64,40,11.5,scattered clouds
304,Talnakh,RU,69.4865,88.3972,-22.47,95,43,7.87,scattered clouds
305,Bajil,YE,15.0584,43.2851,74.8,81,46,5.97,scattered clouds
306,Tiksi,RU,71.6872,128.8694,-14.67,98,44,3.33,scattered clouds
307,Algiers,DZ,36.7525,3.042,46.22,93,20,2.3,few clouds
308,Tubmanburg,LR,6.8708,-10.8172,76.21,97,74,1.48,broken clouds
309,Huari,PE,-9.3333,-77.2333,44.96,91,100,2.57,moderate rain
310,Moroni,KM,-11.7022,43.2551,78.12,78,100,1.36,overcast clouds
311,Saint-Pierre,RE,-21.3393,55.4781,76.68,88,75,9.22,broken clouds
312,Wladyslawowo,PL,54.7909,18.4009,29.93,55,0,6.42,clear sky
313,Kristiansund,NO,63.1115,7.732,48.85,31,20,6.91,few clouds
314,Airai,TL,-8.9266,125.4092,73.53,66,75,2.44,broken clouds
315,Stromness,GB,58.965,-3.296,42.76,81,100,18.92,overcast clouds
316,Arlit,NE,18.7369,7.3853,69.31,13,0,8.88,clear sky
317,Racovita,RO,45.6983,21.6358,25.81,47,11,1.45,few clouds
318,Flin Flon,CA,54.7682,-101.865,6.91,97,95,5.03,overcast clouds
319,Trairi,BR,-3.2778,-39.2689,74.93,91,100,3.42,overcast clouds
320,Bandarban,BD,22.1965,92.2262,77.61,29,0,2.08,clear sky
321,Malyye Derbety,RU,47.9547,44.6808,18.23,78,50,7.58,scattered clouds
322,Belmonte,BR,-15.8631,-38.8828,77.76,82,10,5.5,clear sky
323,Balkhash,KZ,46.844,74.9804,38.01,100,100,8.95,fog
324,Mackay,AU,-21.15,149.2,84.69,65,100,17.27,overcast clouds
325,Lompoc,US,34.6391,-120.4579,61.7,74,0,18.99,clear sky
326,Gorontalo,ID,0.5412,123.0595,86.54,70,92,1.83,overcast clouds
327,Rawson,AR,-43.3002,-65.1023,55.31,67,8,8.68,clear sky
328,Buchanan,LR,5.8808,-10.0467,79.63,88,100,4.09,overcast clouds
329,Bandarbeyla,SO,9.4942,50.8122,75.45,78,90,11.25,overcast clouds
330,Fazilka,IN,30.4,74.0333,66.78,31,29,4.29,scattered clouds
331,Bethanien,NA,-26.502,17.1583,71.76,69,75,5.91,light rain
332,Vila Franca Do Campo,PT,37.7167,-25.4333,55.2,74,96,7.81,overcast clouds
333,Mahibadhoo,MV,3.7833,72.9667,81.99,71,4,7.72,clear sky
334,Pacific Grove,US,36.6177,-121.9166,58.21,81,20,8.05,few clouds
335,Saint-Augustin,CA,51.226,-58.6502,28.78,97,100,26.82,heavy snow
336,Paita,PE,-5.0892,-81.1144,76.87,81,100,5.73,overcast clouds
337,Fairbanks,US,64.8378,-147.7164,15.76,38,0,19.57,clear sky
338,Tazovskiy,RU,67.4667,78.7,-14.89,99,61,10.04,broken clouds
339,Copiapo,CL,-27.3667,-70.3333,68.16,63,0,1.52,clear sky
340,Mehamn,NO,71.0357,27.8492,29.71,93,81,8.12,broken clouds
341,Opuwo,NA,-18.0607,13.84,66.72,88,84,0.72,light rain
342,Bemidji,US,47.4736,-94.8803,17.56,89,100,10.36,overcast clouds
343,Lata,PT,40.1629,-8.3327,48.92,93,58,3.78,broken clouds
344,Okhotsk,RU,59.3833,143.3,21.97,89,100,4.27,overcast clouds
